,Lang,Name
0,Arabic,Khoury
1,Arabic,Nahas
2,Arabic,Daher
3,Arabic,Gerges
4,Arabic,Nazari
5,Arabic,Maalouf
6,Arabic,Gerges
7,Arabic,Naifeh
8,Arabic,Guirguis
9,Arabic,Baba
10,Arabic,Sabbagh
11,Arabic,Attia
12,Arabic,Tahan
13,Arabic,Haddad
14,Arabic,Aswad
15,Arabic,Najjar
16,Arabic,Dagher
17,Arabic,Maloof
18,Arabic,Isa
19,Arabic,Asghar
20,Arabic,Nader
21,Arabic,Gaber
22,Arabic,Abboud
23,Arabic,Maalouf
24,Arabic,Zogby
25,Arabic,Srour
26,Arabic,Bahar
27,Arabic,Mustafa
28,Arabic,Hanania
29,Arabic,Daher
30,Arabic,Tuma
31,Arabic,Nahas
32,Arabic,Saliba
33,Arabic,Shamoon
34,Arabic,Handal
35,Arabic,Baba
36,Arabic,Amari
37,Arabic,Bahar
38,Arabic,Atiyeh
39,Arabic,Said
40,Arabic,Khouri
41,Arabic,Tahan
42,Arabic,Baba
43,Arabic,Mustafa
44,Arabic,Guirguis
45,Arabic,Sleiman
46,Arabic,Seif
47,Arabic,Dagher
48,Arabic,Bahar
49,Arabic,Gaber
50,Arabic,Harb
51,Arabic,Seif
52,Arabic,Asker
53,Arabic,Nader
54,Arabic,Antar
55,Arabic,Awad
56,Arabic,Srour
57,Arabic,Shadid
58,Arabic,Hajjar
59,Arabic,Hanania
60,Arabic,Kalb
61,Arabic,Shadid
62,Arabic,Bazzi
63,Arabic,Mustafa
64,Arabic,Masih
65,Arabic,Ghanem
66,Arabic,Haddad
67,Arabic,Isa
68,Arabic,Antoun
69,Arabic,Sarraf
70,Arabic,Sleiman
71,Arabic,Dagher
72,Arabic,Najjar
73,Arabic,Malouf
74,Arabic,Nahas
75,Arabic,Naser
76,Arabic,Saliba
77,Arabic,Shamon
78,Arabic,Malouf
79,Arabic,Kalb
80,Arabic,Daher
81,Arabic,Maalouf
82,Arabic,Wasem
83,Arabic,Kanaan
84,Arabic,Naifeh
85,Arabic,Boutros
86,Arabic,Moghadam
87,Arabic,Masih
88,Arabic,Sleiman
89,Arabic,Aswad
90,Arabic,Cham
91,Arabic,Assaf
92,Arabic,Quraishi
93,Arabic,Shalhoub
94,Arabic,Sabbag
95,Arabic,Mifsud
96,Arabic,Gaber
97,Arabic,Shammas
98,Arabic,Tannous
99,Arabic,Sleiman
100,Arabic,Bazzi
101,Arabic,Quraishi
102,Arabic,Rahal
103,Arabic,Cham
104,Arabic,Ghanem
105,Arabic,Ghanem
106,Arabic,Naser
107,Arabic,Baba
108,Arabic,Shamon
109,Arabic,Almasi
110,Arabic,Basara
111,Arabic,Quraishi
112,Arabic,Bata
113,Arabic,Wasem
114,Arabic,Shamoun
115,Arabic,Deeb
116,Arabic,Touma
117,Arabic,Asfour
118,Arabic,Deeb
119,Arabic,Hadad
120,Arabic,Naifeh
121,Arabic,Touma
122,Arabic,Bazzi
123,Arabic,Shamoun
124,Arabic,Nahas
125,Arabic,Haddad
