id,label
1,0.998369
10,0.001594
100,0.001566
1000,0.998385
10000,0.973347
10001,0.001580
10002,0.000226
10003,0.988992
10004,0.993772
10005,0.001587
10006,0.001646
10007,0.001585
10008,0.001649
10009,0.001633
1001,0.000278
10010,0.998364
10011,0.973867
10012,0.001598
10013,0.001613
10014,0.001607
10015,0.981583
10016,0.001525
10017,0.001554
10018,0.001617
10019,0.001581
1002,0.998166
10020,0.001592
10021,0.001631
10022,0.974615
10023,0.998412
10024,0.997038
10025,0.998371
10026,0.998393
10027,0.998445
10028,0.001562
10029,0.029473
1003,0.998410
10030,0.998421
10031,0.001665
10032,0.001546
10033,0.001616
10034,0.998377
10035,0.975116
10036,0.998387
10037,0.001565
10038,0.998423
10039,0.998410
1004,0.998360
10040,0.001621
10041,0.998393
10042,0.471982
10043,0.998400
10044,0.000341
10045,0.973550
10046,0.998389
10047,0.998381
10048,0.998435
10049,0.001619
1005,0.001496
10050,0.001565
10051,0.001562
10052,0.001592
10053,0.998347
10054,0.001578
10055,0.001613
10056,0.998373
10057,0.001573
10058,0.974276
10059,0.973765
1006,0.998393
10060,0.998363
10061,0.001647
10062,0.001601
10063,0.998405
10064,0.998439
10065,0.000560
10066,0.001587
10067,0.001652
10068,0.001614
10069,0.001569
1007,0.998407
10070,0.997555
10071,0.000183
10072,0.001564
10073,0.028546
10074,0.001159
10075,0.001546
10076,0.001595
10077,0.001572
10078,0.998202
10079,0.001594
1008,0.001604
10080,0.998461
10081,0.001546
10082,0.001540
10083,0.001637
10084,0.998457
10085,0.998423
10086,0.998439
10087,0.998396
10088,0.028271
10089,0.001595
1009,0.998449
10090,0.001606
10091,0.000366
10092,0.973394
10093,0.001569
10094,0.998415
10095,0.001612
10096,0.998449
10097,0.998455
10098,0.998371
10099,0.001607
101,0.001597
1010,0.030861
10100,0.998387
10101,0.974615
10102,0.001582
10103,0.001594
10104,0.973749
10105,0.556404
10106,0.001590
10107,0.001590
10108,0.974447
10109,0.001397
1011,0.001612
10110,0.998441
10111,0.000187
10112,0.001618
10113,0.998391
10114,0.001311
10115,0.001532
10116,0.031765
10117,0.001582
10118,0.001602
10119,0.998396
1012,0.973409
10120,0.001549
10121,0.000228
10122,0.001575
10123,0.001594
10124,0.996316
10125,0.001599
10126,0.001604
10127,0.973428
10128,0.001588
10129,0.973625
1013,0.001570
10130,0.001638
10131,0.998360
10132,0.001593
10133,0.001568
10134,0.974281
10135,0.998410
10136,0.998389
10137,0.001578
10138,0.998443
10139,0.998410
1014,0.998408
10140,0.998413
10141,0.998438
10142,0.998356
10143,0.973900
10144,0.998454
10145,0.001630
10146,0.998358
10147,0.998423
10148,0.974127
10149,0.001615
1015,0.001635
10150,0.001620
10151,0.001569
10152,0.001590
10153,0.998415
10154,0.001611
10155,0.998372
10156,0.001636
10157,0.001607
10158,0.000169
10159,0.974493
1016,0.027988
10160,0.000168
10161,0.001567
10162,0.998421
10163,0.998439
10164,0.998366
10165,0.993122
10166,0.998479
10167,0.509252
10168,0.997762
10169,0.998441
1017,0.001568
10170,0.001580
10171,0.001274
10172,0.998420
10173,0.001706
10174,0.001566
10175,0.000228
10176,0.998384
10177,0.974186
10178,0.001572
10179,0.998419
1018,0.998420
10180,0.001584
10181,0.998434
10182,0.001591
10183,0.001549
10184,0.001321
10185,0.998401
10186,0.975993
10187,0.998362
10188,0.001596
10189,0.998446
1019,0.998426
10190,0.998405
10191,0.000480
10192,0.972026
10193,0.001627
10194,0.000300
10195,0.998398
10196,0.998372
10197,0.984313
10198,0.000179
10199,0.001597
102,0.998454
1020,0.000241
10200,0.001626
10201,0.001603
10202,0.974822
10203,0.998374
10204,0.000168
10205,0.001581
10206,0.000473
10207,0.998412
10208,0.998396
10209,0.998409
1021,0.001547
10210,0.001630
10211,0.001576
10212,0.001370
10213,0.973281
10214,0.998436
10215,0.000171
10216,0.974104
10217,0.973658
10218,0.001572
10219,0.001537
1022,0.000169
10220,0.998415
10221,0.998390
10222,0.306565
10223,0.001613
10224,0.001582
10225,0.001578
10226,0.001577
10227,0.001591
10228,0.001610
10229,0.001561
1023,0.000203
10230,0.029021
10231,0.998381
10232,0.998383
10233,0.997576
10234,0.001619
10235,0.001589
10236,0.001661
10237,0.001554
10238,0.974954
10239,0.001550
1024,0.001591
10240,0.001646
10241,0.973323
10242,0.998437
10243,0.998444
10244,0.998456
10245,0.992503
10246,0.973781
10247,0.998405
10248,0.001547
10249,0.974165
1025,0.001630
10250,0.001604
10251,0.998356
10252,0.001569
10253,0.998401
10254,0.998438
10255,0.998437
10256,0.973828
10257,0.000526
10258,0.998387
10259,0.998397
1026,0.001603
10260,0.001588
10261,0.997798
10262,0.998378
10263,0.998421
10264,0.001521
10265,0.001596
10266,0.001525
10267,0.001604
10268,0.998414
10269,0.973945
1027,0.001620
10270,0.000172
10271,0.998445
10272,0.001605
10273,0.001608
10274,0.000173
10275,0.973682
10276,0.001550
10277,0.986744
10278,0.000183
10279,0.998396
1028,0.001554
10280,0.973041
10281,0.975055
10282,0.498878
10283,0.997220
10284,0.998400
10285,0.994621
10286,0.001615
10287,0.001628
10288,0.001604
10289,0.001628
1029,0.001633
10290,0.998404
10291,0.981821
10292,0.001566
10293,0.998374
10294,0.001614
10295,0.001578
10296,0.000190
10297,0.998426
10298,0.998364
